Name,Count
Alaska,2.0
Alabama,3.7
Arizona,4.0
Arkansas,3.5
California,4.2
Colorado,3.9
Connecticut,2.5
Delaware,2.8
Florida,3.9
Georgia,3.0
Hawaii,3.4
Idaho,3
Illinois,3.9
Indiana,3.3
Iowa,2.6
Kansas,2
Kentucky,3
Louisiana,3
Maine,2
Maryland,3.4
Massachusetts,3.8
Michigan,3.1
Minnesota,3.0
Mississippi,3.0
Missouri,3.2
Montana,3
Nebraska,2.9
Nevada,2.8
New Hampshire,3.3
New Jersey,4
New Mexico,3.3
New York,4.5
North Carolina,3
North Dakota,3
Ohio,3.4
Oklahoma,3.3
Oregon,3
Pennsylvania,3.2
Rhode Island,3
South Carolina,3
South Dakota,3
Tennessee,3.8
Texas,4.2
Utah,4
Vermont,3.7
Virginia,3.6
Washington,4.0
West Virginia,3.9
Wisconsin,3.6
Wyoming,3